0,2756
4.15,2869
8.3,709
12.45,176
16.6,158
20.75,165
24.9,201
29.05,136
33.2,128
37.35,131
41.5,166
45.65,439
49.8,834
53.95,568
58.1,214
62.25,151
66.4,116
70.55,97
74.7,130
78.85,197
83,243
87.15,191
91.3,257
95.45,341
99.6,387
103.75,457
107.9,889
112.05,1276
116.2,1922
120.35,2514
124.5,2321
128.65,2812
132.8,4110
136.95,6621
141.1,4695
145.25,4880
149.4,6384
153.55,6376
157.7,6719
161.85,9281
166,6531
170.15,7197
174.3,8195
178.45,9634
182.6,10158
186.75,10232
190.9,13375
195.05,11967
199.2,12953
203.35,13035
207.5,17275
211.65,22420
215.8,21707
219.95,23926
224.1,17325
228.25,12942
232.4,8201
236.55,4567
240.7,2035
244.85,508
